Celsius,Fahrenheit,Humidity
0.0,32.0,69.058867777488
0.6,33.08,69.186067549605
1.7,35.06,66.374179406691
1.1,33.98,69.291521433314
1.1,33.98,69.291521433314
0.6,33.08,69.186067549605
-0.6,30.92,72.137811402908
-10.6,12.920000000000002,83.854141421614
-12.8,8.96,83.569717252944
-13.3,8.059999999999999,79.449597741576
-13.3,8.059999999999999,79.449597741576
-13.3,8.059999999999999,75.572046747283
-13.9,6.979999999999997,76.097009200761
-14.4,6.080000000000002,75.366625484864
-15.0,5.0,79.174845272969
-15.0,5.0,79.174845272969
-15.6,3.919999999999998,79.750422343229
-15.6,3.919999999999998,79.750422343229
-16.0,3.1999999999999993,77.674832717831
-16.1,3.0199999999999996,75.690123571435
-16.1,3.0199999999999996,75.690123571435
-16.7,1.9400000000000048,75.577461824714
-16.7,1.9400000000000048,75.577461824714
-16.7,1.9400000000000048,75.577461824714
-16.1,3.0199999999999996,71.888891075774
-16.1,3.0199999999999996,75.690123571435
-15.6,3.919999999999998,72.613610464552
-15.6,3.919999999999998,72.613610464552
-16.7,1.9400000000000048,71.761937043363
-16.7,1.9400000000000048,71.761937043363
-16.7,1.9400000000000048,71.761937043363
-16.7,1.9400000000000048,71.761937043363
-16.7,1.9400000000000048,71.761937043363
-16.7,1.9400000000000048,71.761937043363
-26.7,-16.059999999999995,81.593498380123
-26.7,-16.059999999999995,77.861635169603
-27.8,-18.040000000000006,81.422714866099
-26.7,-16.059999999999995,81.593498380123
-26.7,-16.059999999999995,77.861635169603
-25.0,-13.0,77.447679738322
-22.2,-7.959999999999994,77.951217985332
-19.4,-2.9200000000000017,86.354115388646
-16.7,1.9400000000000048,71.761937043363
-13.9,6.979999999999997,76.097009200761
-11.7,10.940000000000001,69.837242992317
-9.4,15.079999999999998,66.969142121157
-9.4,15.079999999999998,66.969142121157
-11.7,10.940000000000001,72.796126210489
-13.3,8.059999999999999,75.572046747283
-13.9,6.979999999999997,79.35322028516
-13.3,8.059999999999999,75.572046747283
-14.4,6.080000000000002,79.272412117227
-15.0,5.0,79.174845272969
-16.1,3.0199999999999996,78.994263687069
-16.7,1.9400000000000048,79.573733008322
-17.2,1.0400000000000027,82.978714020981
-16.7,1.9400000000000048,83.047406335535
-16.7,1.9400000000000048,83.047406335535
-16.7,1.9400000000000048,79.573733008322
-16.7,1.9400000000000048,79.573733008322
-17.2,1.0400000000000027,82.978714020981
-16.7,1.9400000000000048,79.573733008322
-16.1,3.0199999999999996,83.129309827941
-12.8,8.96,72.573175525382
-11.1,12.020000000000003,72.916673699508
-3.3,26.060000000000002,65.223838384227
5.0,41.0,57.080649295957
6.1,42.980000000000004,52.890097417346
7.2,44.96,51.267550652162
7.2,44.96,51.267550652162
5.6,42.08,54.750754318527
5.0,41.0,54.99697448563
4.4,39.92,57.348936584651
5.0,41.0,54.99697448563
3.9,39.02,59.394790553823
5.0,41.0,54.99697448563
4.4,39.92,57.348936584651
3.9,39.02,61.645085776409
3.3,37.94,67.22630281377
3.3,37.94,69.749692312671
2.2,35.96,72.679601462421
2.2,35.96,72.679601462421
1.7,35.06,72.047438196578
1.1,33.98,75.21413677184
0.6,33.08,75.12545198507
0.6,33.08,71.831978021114
0.0,32.0,72.255157554836
3.3,37.94,61.958017064999
4.4,39.92,57.348936584651
5.6,42.08,54.750754318527
6.7,44.06,50.749859535409
8.3,46.94,47.567077130119
